Player ,09/13vs. BUF,09/20vs. SFO,09/27vs. IND,10/01vs. DEN,10/11vs. ARI,10/18vs. MIA,10/25vs. BUF,11/01vs. KAN,11/09vs. NWE,11/22vs. LAC,11/29vs. MIA,12/06vs. LVR,12/13vs. SEA,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Sam Darnold,,,,,O,D,Q,,D,D,,,,14.0,23.0,QB,9.0,9.0,225.0,2020-06-03,USC,1997-06-05,2,,New York Jets / 1st / 3rd pick / 2018,750000.0
Ashtyn Davis,,,O,D,Q,,,,,,,,IR,,,,,,,,,,,,,
Josh Doctson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chuma Edoga,,,,,,,Q,,,,D,,,75.0,23.0,OL,8.0,4.0,308.0,2020-06-03,USC,1997-05-25,1,,New York Jets / 3rd / 92nd pick / 2019,675000.0
George Fant,,,O,,,,Q,,,,D,,,76.0,28.0,T,11.0,11.0,322.0,2020-06-05,Western Kentucky,1992-07-19,4,,,4600000.0
Sam Ficken,,,,,,,D,D,D,Q,IR,IR,IR,,,,,,,,,,,,,
Joe Flacco,O,O,,,,,,,,,,,,5.0,35.0,QB,5.0,4.0,245.0,2020-06-06,"Pittsburgh,Delaware",1985-01-16,12,,Baltimore Ravens / 1st / 18th pick / 2008,1050000.0
John Franklin-Myers,,,,Q,Q,Q,,,Q,,,,,91.0,24.0,DE,12.0,2.0,288.0,2020-06-04,S.F. Austin,1996-09-26,2,,Los Angeles Rams / 4th / 135th pick / 2018,750000.0
Frank Gore,,,,,,,,Q,,,,,,21.0,37.0,RB,13.0,12.0,212.0,2020-05-09,Miami (FL),1983-05-14,15,,San Francisco 49ers / 3rd / 65th pick / 2005,1050000.0
Nate Hairston,,,Q,,,,,,,,,,,,,,,,,,,,,,,
Bryce Hall,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,37.0,23.0,CB,5.0,4.0,202.0,2020-06-01,Virginia,1997-05-11,Rook,,New York Jets / 5th / 158th pick / 2020,511173.0
Chris Hogan,,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,
Bennett Jackson,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Jordan Jenkins,,,,Q,Q,,,Q,,,,,,,,,,,,,,,,,,
Leo Koloamatangi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Alex Lewis,Q,,,,,Q,D,,,,Q,IR,IR,,,,,,,,,,,,,
Frankie Luvu,,,,,,,IR,IR,IR,IR,,,,50.0,24.0,LB,10.0,1.0,236.0,2020-06-03,Washington St.,1996-09-19,2,,,513236.0
Arthur Maulet,,,IR,IR,IR,IR,IR,IR,,,,,,23.0,27.0,CB,8.0,2.0,190.0,2020-05-10,Memphis,1993-07-13,3,,,825000.0
Marcus Maye,Q,,,,,,,,,,,,,20.0,27.0,FS,13.0,13.0,207.0,2000-06-01,Florida,1993-03-09,3,,New York Jets / 2nd / 39th pick / 2017,1358733.0
Conor McDermott,,,,,,,,Q,,,,,,69.0,28.0,OT,12.0,1.0,305.0,2020-06-08,UCLA,1992-10-19,3,,New England Patriots / 6th / 211th pick / 2017,825000.0
Bradley McDougald,,,,,,,,O,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Connor McGovern,,,Q,,,,,,Q,,,,,60.0,27.0,OG,13.0,13.0,306.0,2020-06-04,Missouri,1993-04-27,3,,Denver Broncos / 5th / 144th pick / 2016,5000000.0
Denzel Mims,O,IR,IR,IR,IR,IR,IR,,,,,,,11.0,23.0,WR,6.0,5.0,207.0,2020-06-03,Baylor,1997-10-10,Rook,,New York Jets / 2nd / 59th pick / 2020,548235.0
Jalin Moore,,,,IR,,,,,,,,,,,,,,,,,,,,,,
C.J. Mosley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,
Patrick Onwuasor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,IR,IR,,,,,,,,,,,,,
La'Mical Perine,O,Q,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Breshad Perriman,,,O,O,D,Q,,O,,,,,,19.0,27.0,WR,9.0,9.0,215.0,2020-06-02,Central Florida,1993-09-10,4,,Baltimore Ravens / 1st / 26th pick / 2015,3000000.0
Kyle Phillips,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brian Poole,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Nathan Shepherd,,,,,,,,,Q,,,,,97.0,27.0,DT,11.0,0.0,315.0,2020-06-04,Fort Hays St.,1993-10-09,2,,New York Jets / 3rd / 72nd pick / 2018,818000.0
Jeff Smith,IR,IR,IR,IR,,,,,,,,,,16.0,23.0,WR,9.0,4.0,195.0,2020-06-01,Boston Col.,1997-04-21,1,,,572940.0
Vyncint Smith,IR,IR,IR,IR,IR,IR,,,D,,,,,17.0,24.0,WR,5.0,0.0,202.0,2020-06-03,Limestone,1996-06-09,2,,,661767.0
Greg Van Roten,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Trevon Wesco,,,,,,,,,O,IR,IR,IR,IR,85.0,25.0,TE,9.0,3.0,267.0,2020-06-03,West Virginia,1995-09-12,1,,New York Jets / 4th / 121st pick / 2019,542648.0
Quinnen Williams,,,,,,Q,,,D,,,,,95.0,23.0,DL,12.0,12.0,303.0,2020-06-03,Alabama,1997-12-05,1,,New York Jets / 1st / 3rd pick / 2019,675000.0
Avery Williamson,O,Q,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Willis,,,,D,,,,,,,,,,,,,,,,,,,,,,
Quincy Wilson,,,O,,,,,,,,,,,,,,,,,,,,,,,
Jabari Zuniga,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,92.0,23.0,DL,6.0,0.0,264.0,2020-06-03,Florida,1997-08-14,Rook,,New York Jets / 3rd / 79th pick / 2020,523527.0
